Year,Units,Territorio,Value
2010,UNIDAD_MEDIDA.PT,ES53,18.29
2011,UNIDAD_MEDIDA.PT,ES53,15.31
2012,UNIDAD_MEDIDA.PT,ES53,22.76
2013,UNIDAD_MEDIDA.PT,ES53,21.03
2014,UNIDAD_MEDIDA.PT,ES53,22.14
2015,UNIDAD_MEDIDA.PT,ES53,20.14
2016,UNIDAD_MEDIDA.PT,ES53,20.13
2017,UNIDAD_MEDIDA.PT,ES53,20.72
2018,UNIDAD_MEDIDA.PT,ES53,19.35
2010,UNIDAD_MEDIDA.PT,ES,21.35
2011,UNIDAD_MEDIDA.PT,ES,19.67
2012,UNIDAD_MEDIDA.PT,ES,22.88
2013,UNIDAD_MEDIDA.PT,ES,21.66
2014,UNIDAD_MEDIDA.PT,ES,22.56
2015,UNIDAD_MEDIDA.PT,ES,21.58
2016,UNIDAD_MEDIDA.PT,ES,20.86
2017,UNIDAD_MEDIDA.PT,ES,20.85
2018,UNIDAD_MEDIDA.PT,ES,20.95
