Year,Units,general.territorio,Serie,DIM_DES.EDAD,Value
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,65.23
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,67.48
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,65.22
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,65.82
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,67.49
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,72.18
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,70.76
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,69.12
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,72.84
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,72.41
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,76.18
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,75.60
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,77.80
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,EDAD.Y16T74,77.19
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.15
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,93.80
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,94.18
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,94.18
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,93.16
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,98.83
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.11
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,91.20
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.54
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,96.08
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,96.04
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,98.41
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,94.20
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_B,EDAD.Y16T24,95.64
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,61.28
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,64.04
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,61.41
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,62.13
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,64.11
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,68.71
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,67.48
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,66.20
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,69.68
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,69.24
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,73.39
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,72.54
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,75.39
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,EDAD.Y25T74,74.60
