Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,92.41
2010,UNIDAD_MEDIDA.PT,ES53,93.54
2011,UNIDAD_MEDIDA.PT,ES,93.38
2011,UNIDAD_MEDIDA.PT,ES53,92.70
2012,UNIDAD_MEDIDA.PT,ES,94.65
2012,UNIDAD_MEDIDA.PT,ES53,93.62
2013,UNIDAD_MEDIDA.PT,ES,94.01
2013,UNIDAD_MEDIDA.PT,ES53,94.86
2014,UNIDAD_MEDIDA.PT,ES,94.68
2014,UNIDAD_MEDIDA.PT,ES53,96.56
2015,UNIDAD_MEDIDA.PT,ES,95.38
2015,UNIDAD_MEDIDA.PT,ES53,97.15
2017,UNIDAD_MEDIDA.PT,ES,96.21
2017,UNIDAD_MEDIDA.PT,ES53,98.05
2019,UNIDAD_MEDIDA.PT,ES,96.73
2019,UNIDAD_MEDIDA.PT,ES53,98.83
2020,UNIDAD_MEDIDA.PT,ES,98.86
2020,UNIDAD_MEDIDA.PT,ES53,99.30
2021,UNIDAD_MEDIDA.PT,ES,99.12
2021,UNIDAD_MEDIDA.PT,ES53,99.29
