Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,33.14
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,5.28
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,33.34
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,6.03
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,34.29
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,6.38
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,35.76
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,9.26
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,37.33
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,7.51
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,37.13
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,5.23
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,37.44
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,5.46
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,37.17
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,5.48
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,37.05
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,5.82
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,37.25
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,6.44
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,38.51
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,5.77
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.NV_IND_TECH,34.79
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,5.60
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.NV_IND_TECH,6.23
